date,time,store_id,product_id,product_name,category,quantity,price,payment_method,customer_segment,time_of_day,month,total_sales
2025-05-19 08:12:46.381540,13:25,Store B,P6591,Camera,Computers,4,547.09,Mobile Payment,VIP,13,5,2188.36
2025-04-19 08:12:46.381540,11:43,Store C,P3243,Headphones,Electronics,3,689.77,Debit Card,VIP,11,4,2069.31
2025-01-26 08:12:46.381540,10:08,Store C,P1457,Printer,Computers,3,818.26,Debit Card,Regular,10,1,2454.7799999999997
2025-05-22 08:12:46.381540,16:17,Store A,P2397,Headphones,Accessories,1,801.35,Cash,Regular,16,5,801.35
2024-12-31 08:12:46.381540,19:53,Store D,P1302,Keyboard,Accessories,2,82.39,Cash,New,19,12,164.78
2025-01-30 08:12:46.381540,13:04,Store D,P9999,Headphones,Audio,2,743.59,Cash,Regular,13,1,1487.18
2025-02-19 08:12:46.381540,19:02,Store C,P3567,Printer,Audio,2,949.96,Credit Card,Premium,19,2,1899.92
2025-03-15 08:12:46.381540,12:18,Store D,P4202,Router,Accessories,1,703.65,Cash,Regular,12,3,703.65
2025-02-25 08:12:46.381540,18:20,Store B,P3934,Tablet,Accessories,1,838.08,Credit Card,Premium,18,2,838.08
2024-12-25 08:12:46.381540,15:10,Store C,P7463,Monitor,Electronics,3,490.69,Mobile Payment,New,15,12,1472.07
2025-03-14 08:12:46.381540,15:33,Store A,P8107,USB Drive,Computers,2,325.88,Mobile Payment,Regular,15,3,651.76
2025-04-24 08:12:46.381540,12:41,Store B,P8250,Smartphone,Audio,4,679.48,Mobile Payment,VIP,12,4,2717.92
2025-05-01 08:12:46.381540,19:00,Store A,P4577,Monitor,Electronics,1,497.28,Credit Card,New,19,5,497.28
2025-02-17 08:12:46.381540,17:09,Store A,P8205,Keyboard,Computers,4,896.34,Mobile Payment,Regular,17,2,3585.36
2025-05-04 08:12:46.381540,15:06,Store D,P9765,External HDD,Audio,2,974.64,Mobile Payment,Regular,15,5,1949.28
2025-03-07 08:12:46.381540,19:24,Store D,P5714,Monitor,Electronics,2,821.6,Credit Card,Premium,19,3,1643.2
2025-05-01 08:12:46.381540,16:39,Store C,P8747,Camera,Storage,1,992.75,Cash,Regular,16,5,992.75
2025-05-28 08:12:46.381540,09:57,Store D,P6183,Mouse,Storage,1,354.89,Cash,Premium,9,5,354.89
2025-05-28 08:12:46.381540,19:50,Store A,P1373,Laptop,Audio,3,896.8,Cash,Premium,19,5,2690.3999999999996
2025-01-18 08:12:46.381540,11:21,Store A,P4461,Printer,Electronics,4,336.63,Cash,VIP,11,1,1346.52
2025-04-18 08:12:46.381540,09:05,Store B,P2898,Laptop,Computers,3,126.86,Debit Card,VIP,9,4,380.58
2024-12-21 08:12:46.381540,13:57,Store A,P2058,Printer,Computers,3,625.16,Mobile Payment,VIP,13,12,1875.48
2025-01-26 08:12:46.381540,09:10,Store C,P5841,USB Drive,Electronics,4,460.44,Cash,New,9,1,1841.76
2025-01-13 08:12:46.381540,20:51,Store C,P4806,Smartphone,Storage,2,922.48,Cash,VIP,20,1,1844.96
2025-04-30 08:12:46.381540,14:02,Store D,P8416,Monitor,Electronics,4,497.27,Cash,Premium,14,4,1989.08
2025-02-26 08:12:46.381540,14:59,Store D,P5494,Smartphone,Storage,2,928.36,Cash,Regular,14,2,1856.72
2024-12-28 08:12:46.381540,12:53,Store D,P2811,Headphones,Storage,3,87.85,Cash,Premium,12,12,263.54999999999995
2025-05-27 08:12:46.381540,15:17,Store C,P7509,External HDD,Computers,2,832.21,Debit Card,VIP,15,5,1664.42
2025-01-18 08:12:46.381540,17:37,Store A,P2178,Router,Audio,2,761.52,Debit Card,Regular,17,1,1523.04
2025-02-02 08:12:46.381540,14:00,Store D,P4265,Headphones,Accessories,2,722.78,Credit Card,Premium,14,2,1445.56
2025-05-16 08:12:46.381540,12:29,Store B,P1247,Laptop,Electronics,4,361.58,Credit Card,Regular,12,5,1446.32
2025-02-16 08:12:46.381540,10:32,Store D,P6600,Smartwatch,Storage,2,785.92,Cash,Premium,10,2,1571.84
2025-01-22 08:12:46.381540,18:53,Store C,P3697,Smartwatch,Electronics,4,488.46,Credit Card,Regular,18,1,1953.84
2025-03-25 08:12:46.381540,15:07,Store D,P7968,Mouse,Audio,1,718.05,Debit Card,Regular,15,3,718.05
2025-06-06 08:12:46.381540,08:34,Store A,P4850,Smartwatch,Audio,1,556.7,Cash,VIP,8,6,556.7
2025-03-30 08:12:46.381540,19:13,Store D,P6015,USB Drive,Accessories,3,165.87,Credit Card,New,19,3,497.61
2025-01-20 08:12:46.381540,09:38,Store C,P9525,External HDD,Accessories,3,73.91,Credit Card,VIP,9,1,221.73
2025-03-27 08:12:46.381540,09:05,Store C,P4844,Keyboard,Storage,4,372.52,Debit Card,Regular,9,3,1490.08
2025-06-09 08:12:46.381540,20:17,Store B,P1572,Camera,Accessories,2,933.46,Mobile Payment,Regular,20,6,1866.92
2025-04-26 08:12:46.381540,17:25,Store C,P8645,Camera,Storage,2,534.44,Cash,VIP,17,4,1068.88
2024-12-17 08:12:46.381540,19:45,Store B,P7910,Headphones,Computers,1,804.17,Credit Card,Premium,19,12,804.17
2024-12-21 08:12:46.381540,17:55,Store A,P6445,Smartwatch,Storage,4,580.19,Debit Card,Regular,17,12,2320.76
2025-05-07 08:12:46.381540,12:44,Store C,P9671,Mouse,Accessories,2,958.33,Cash,Premium,12,5,1916.66
2025-03-29 08:12:46.381540,20:54,Store D,P6019,Printer,Electronics,2,375.76,Debit Card,VIP,20,3,751.52
2025-01-12 08:12:46.381540,17:08,Store A,P4978,Headphones,Accessories,4,66.48,Cash,New,17,1,265.92
2025-05-02 08:12:46.381540,13:44,Store D,P6673,Smartphone,Audio,3,782.86,Mobile Payment,New,13,5,2348.58
2024-12-31 08:12:46.381540,12:44,Store D,P1521,Smartwatch,Accessories,4,708.4,Mobile Payment,Regular,12,12,2833.6
2025-03-16 08:12:46.381540,17:00,Store D,P6706,Headphones,Computers,4,532.26,Cash,Premium,17,3,2129.04
2025-01-27 08:12:46.381540,20:08,Store A,P2226,Smartwatch,Storage,2,333.13,Cash,VIP,20,1,666.26
2025-04-19 08:12:46.381540,20:39,Store A,P2307,Keyboard,Audio,1,196.38,Debit Card,Regular,20,4,196.38
2025-06-13 08:12:46.381540,14:35,Store C,P4554,Speaker,Storage,2,487.45,Cash,New,14,6,974.9
2025-02-17 08:12:46.381540,13:16,Store D,P5421,Mouse,Storage,2,669.54,Credit Card,New,13,2,1339.08
2025-03-22 08:12:46.381540,14:04,Store B,P2333,Laptop,Accessories,2,583.1,Cash,Premium,14,3,1166.2
2025-02-06 08:12:46.381540,13:46,Store C,P7336,Tablet,Electronics,4,443.12,Cash,Regular,13,2,1772.48
2025-03-22 08:12:46.381540,13:53,Store A,P4256,Mouse,Audio,4,544.3,Mobile Payment,Premium,13,3,2177.2
2025-04-27 08:12:46.381540,10:44,Store B,P8516,Power Bank,Computers,2,116.88,Mobile Payment,Premium,10,4,233.76
2025-05-16 08:12:46.381540,13:07,Store A,P3551,Smartwatch,Computers,2,698.88,Debit Card,Regular,13,5,1397.76
2025-05-08 08:12:46.381540,10:34,Store B,P2347,Smartphone,Electronics,1,736.91,Cash,VIP,10,5,736.91
2025-06-05 08:12:46.381540,08:56,Store C,P8454,Router,Electronics,3,21.34,Credit Card,New,8,6,64.02
2025-01-14 08:12:46.381540,12:23,Store B,P6838,Smartphone,Accessories,2,277.81,Credit Card,Regular,12,1,555.62
2025-01-21 08:12:46.381540,10:21,Store C,P1575,Laptop,Computers,4,101.2,Cash,New,10,1,404.8
2024-12-29 08:12:46.381540,18:40,Store A,P4350,USB Drive,Audio,3,998.25,Debit Card,VIP,18,12,2994.75
2025-05-25 08:12:46.381540,13:35,Store B,P7914,Monitor,Electronics,3,597.41,Credit Card,New,13,5,1792.23
2025-02-25 08:12:46.381540,20:50,Store D,P6010,Smartphone,Electronics,1,471.08,Debit Card,New,20,2,471.08
2025-03-12 08:12:46.381540,13:33,Store D,P5274,Headphones,Electronics,3,468.37,Cash,Premium,13,3,1405.1100000000001
2025-01-13 08:12:46.381540,13:02,Store A,P3247,Power Bank,Audio,2,965.13,Debit Card,Premium,13,1,1930.26
2025-02-20 08:12:46.381540,18:32,Store B,P2533,Router,Computers,2,663.26,Cash,Premium,18,2,1326.52
2025-06-04 08:12:46.381540,13:41,Store D,P8627,Smartphone,Audio,4,176.97,Mobile Payment,VIP,13,6,707.88
2025-01-30 08:12:46.381540,13:38,Store C,P4156,Tablet,Audio,2,453.68,Cash,Premium,13,1,907.36
2025-02-16 08:12:46.381540,09:58,Store B,P2740,USB Drive,Accessories,2,776.45,Debit Card,New,9,2,1552.9
2025-04-29 08:12:46.381540,12:10,Store B,P7315,Laptop,Electronics,1,429.12,Credit Card,New,12,4,429.12
2025-01-13 08:12:46.381540,11:55,Store D,P3223,Headphones,Computers,3,316.44,Cash,New,11,1,949.3199999999999
2025-01-13 08:12:46.381540,17:38,Store C,P7388,Smartwatch,Accessories,1,991.3,Cash,Regular,17,1,991.3
2025-04-03 08:12:46.381540,09:34,Store C,P9104,Mouse,Accessories,3,936.28,Cash,New,9,4,2808.84
2025-01-29 08:12:46.381540,11:54,Store C,P5813,Laptop,Storage,1,942.14,Mobile Payment,Premium,11,1,942.14
2025-03-10 08:12:46.381540,19:23,Store B,P4983,Tablet,Electronics,4,140.36,Mobile Payment,VIP,19,3,561.44
2025-01-15 08:12:46.381540,20:37,Store A,P7973,Camera,Computers,1,241.91,Mobile Payment,VIP,20,1,241.91
2025-03-01 08:12:46.381540,08:26,Store B,P6569,Power Bank,Computers,1,447.65,Credit Card,New,8,3,447.65
2025-04-23 08:12:46.381540,14:00,Store B,P8615,Tablet,Computers,4,833.81,Credit Card,New,14,4,3335.24
2025-03-18 08:12:46.381540,20:48,Store D,P1798,Printer,Electronics,2,739.46,Cash,Regular,20,3,1478.92
2025-04-24 08:12:46.381540,11:09,Store A,P2471,USB Drive,Computers,2,851.17,Credit Card,New,11,4,1702.34
2025-04-16 08:12:46.381540,14:26,Store C,P2054,Printer,Audio,4,921.56,Debit Card,New,14,4,3686.24
2025-01-12 08:12:46.381540,18:24,Store D,P9967,Camera,Audio,4,782.96,Debit Card,New,18,1,3131.84
2025-04-16 08:12:46.381540,19:19,Store B,P5826,Keyboard,Electronics,1,269.15,Mobile Payment,Regular,19,4,269.15
2025-04-11 08:12:46.381540,12:03,Store A,P3195,Smartphone,Computers,4,292.59,Debit Card,VIP,12,4,1170.36
2024-12-19 08:12:46.381540,18:11,Store C,P2157,External HDD,Storage,4,358.96,Debit Card,New,18,12,1435.84
2025-03-29 08:12:46.381540,11:02,Store C,P8606,Mouse,Storage,3,310.04,Cash,VIP,11,3,930.1200000000001
2025-05-20 08:12:46.381540,14:05,Store B,P6303,Monitor,Storage,3,256.61,Mobile Payment,Regular,14,5,769.83
2025-05-02 08:12:46.381540,10:35,Store C,P3668,Monitor,Audio,2,754.96,Mobile Payment,Regular,10,5,1509.92
2025-02-16 08:12:46.381540,17:04,Store C,P7688,Speaker,Storage,4,43.65,Mobile Payment,New,17,2,174.6
2025-05-30 08:12:46.381540,12:10,Store A,P5277,Mouse,Computers,1,731.11,Debit Card,Regular,12,5,731.11
2025-02-05 08:12:46.381540,13:38,Store D,P3503,USB Drive,Computers,2,825.33,Credit Card,Regular,13,2,1650.66
2025-06-06 08:12:46.381540,13:25,Store A,P9371,USB Drive,Storage,2,75.38,Cash,VIP,13,6,150.76
2025-05-17 08:12:46.381540,19:38,Store D,P9488,Speaker,Accessories,2,71.23,Credit Card,Premium,19,5,142.46
2025-02-13 08:12:46.381540,14:07,Store D,P9756,Tablet,Storage,4,292.61,Mobile Payment,VIP,14,2,1170.44
2025-04-13 08:12:46.381540,16:19,Store D,P3080,Camera,Accessories,4,216.22,Mobile Payment,New,16,4,864.88
2025-05-25 08:12:46.381540,17:53,Store C,P6088,Speaker,Electronics,1,585.32,Debit Card,Regular,17,5,585.32
2025-03-22 08:12:46.381540,08:32,Store A,P7226,Camera,Electronics,1,678.7,Cash,New,8,3,678.7
2025-06-14 08:12:46.381540,13:00,Store C,P4815,Smartwatch,Computers,2,637.8,Cash,VIP,13,6,1275.6
2025-04-08 08:12:46.381540,19:08,Store B,P5816,USB Drive,Audio,4,363.77,Cash,Regular,19,4,1455.08
2025-02-16 08:12:46.381540,18:18,Store A,P7005,Laptop,Computers,1,503.41,Debit Card,New,18,2,503.41
2025-02-06 08:12:46.381540,13:11,Store D,P7075,Headphones,Computers,3,643.59,Credit Card,New,13,2,1930.77
2024-12-28 08:12:46.381540,18:55,Store C,P2439,Printer,Audio,3,128.23,Cash,VIP,18,12,384.68999999999994
2025-01-24 08:12:46.381540,17:33,Store C,P4754,Monitor,Computers,2,237.22,Credit Card,New,17,1,474.44
2025-04-25 08:12:46.381540,12:32,Store A,P7492,Smartphone,Audio,3,891.59,Debit Card,Regular,12,4,2674.77
2025-04-26 08:12:46.381540,10:36,Store A,P5768,Headphones,Computers,2,348.9,Debit Card,New,10,4,697.8
2025-04-08 08:12:46.381540,12:28,Store D,P7481,Tablet,Electronics,4,803.14,Credit Card,Regular,12,4,3212.56
2025-03-27 08:12:46.381540,12:12,Store D,P4625,USB Drive,Accessories,2,258.48,Cash,New,12,3,516.96
2025-04-08 08:12:46.381540,20:56,Store B,P7983,Speaker,Computers,2,51.22,Credit Card,VIP,20,4,102.44
2025-03-07 08:12:46.381540,17:10,Store D,P8051,Smartwatch,Accessories,4,505.4,Cash,Regular,17,3,2021.6
2025-04-08 08:12:46.381540,14:24,Store C,P6331,Headphones,Storage,1,893.56,Mobile Payment,New,14,4,893.56
2024-12-18 08:12:46.381540,20:19,Store B,P8401,Smartwatch,Computers,1,821.09,Mobile Payment,Premium,20,12,821.09
2025-04-25 08:12:46.381540,09:24,Store B,P2914,Monitor,Electronics,1,260.41,Cash,Regular,9,4,260.41
2025-02-08 08:12:46.381540,16:11,Store B,P7959,Monitor,Audio,1,910.84,Credit Card,Regular,16,2,910.84
2025-03-13 08:12:46.381540,14:32,Store A,P2616,USB Drive,Electronics,2,484.92,Cash,Regular,14,3,969.84
2025-04-24 08:12:46.381540,16:43,Store D,P4936,Smartphone,Accessories,1,58.51,Cash,Premium,16,4,58.51
2025-05-12 08:12:46.381540,13:19,Store B,P4323,Camera,Audio,3,37.65,Cash,VIP,13,5,112.94999999999999
2025-04-21 08:12:46.381540,17:34,Store A,P6590,Tablet,Electronics,3,490.26,Mobile Payment,New,17,4,1470.78
2025-04-25 08:12:46.381540,12:12,Store A,P4378,Keyboard,Electronics,1,550.86,Debit Card,Premium,12,4,550.86
2025-02-07 08:12:46.381540,20:09,Store B,P4591,Mouse,Electronics,3,89.11,Mobile Payment,New,20,2,267.33
2025-06-06 08:12:46.381540,15:10,Store B,P9563,Smartphone,Audio,3,923.02,Cash,Premium,15,6,2769.06
2025-05-25 08:12:46.381540,12:34,Store C,P6384,Monitor,Electronics,4,721.03,Credit Card,Premium,12,5,2884.12
2025-05-25 08:12:46.381540,10:57,Store B,P1273,Laptop,Electronics,4,803.27,Debit Card,New,10,5,3213.08
2025-02-22 08:12:46.381540,08:14,Store C,P8492,Speaker,Accessories,1,588.18,Cash,New,8,2,588.18
2025-04-18 08:12:46.381540,19:02,Store B,P8841,Camera,Electronics,2,666.91,Debit Card,New,19,4,1333.82
2025-05-10 08:12:46.381540,16:57,Store B,P5547,Speaker,Electronics,2,393.98,Credit Card,VIP,16,5,787.96
2025-01-23 08:12:46.381540,17:45,Store D,P6470,Speaker,Storage,4,682.5,Debit Card,Regular,17,1,2730.0
2025-01-09 08:12:46.381540,17:52,Store B,P1785,USB Drive,Audio,4,978.4,Debit Card,Premium,17,1,3913.6
2025-02-23 08:12:46.381540,10:39,Store B,P5152,Router,Storage,2,651.24,Cash,Regular,10,2,1302.48
2025-04-11 08:12:46.381540,20:20,Store C,P1801,Mouse,Accessories,1,348.22,Credit Card,New,20,4,348.22
2025-03-24 08:12:46.381540,11:48,Store C,P8229,External HDD,Storage,2,292.39,Credit Card,New,11,3,584.78
2025-05-04 08:12:46.381540,20:11,Store D,P2944,Laptop,Computers,2,963.71,Mobile Payment,Premium,20,5,1927.42
2025-05-09 08:12:46.381540,20:57,Store B,P8601,Smartphone,Audio,3,193.15,Debit Card,Premium,20,5,579.45
2025-03-23 08:12:46.381540,19:29,Store B,P4762,Headphones,Electronics,2,808.13,Cash,Premium,19,3,1616.26
2025-04-19 08:12:46.381540,19:23,Store C,P4398,Keyboard,Storage,4,470.61,Debit Card,Premium,19,4,1882.44
2025-02-24 08:12:46.381540,17:39,Store A,P6905,Smartwatch,Storage,1,449.32,Debit Card,Premium,17,2,449.32
2025-03-19 08:12:46.381540,12:01,Store A,P4552,Mouse,Electronics,2,750.06,Debit Card,New,12,3,1500.12
2024-12-19 08:12:46.381540,10:05,Store A,P4379,Mouse,Electronics,3,156.56,Cash,Premium,10,12,469.68
2025-05-13 08:12:46.381540,17:58,Store C,P9275,Router,Accessories,4,471.63,Debit Card,VIP,17,5,1886.52
2025-05-29 08:12:46.381540,10:57,Store C,P1363,Smartphone,Storage,4,45.48,Cash,Regular,10,5,181.92
2025-05-12 08:12:46.381540,17:28,Store A,P2015,Mouse,Storage,3,673.7,Credit Card,Regular,17,5,2021.1000000000001
2025-03-16 08:12:46.381540,17:21,Store A,P1122,Smartwatch,Computers,4,67.79,Debit Card,VIP,17,3,271.16
2025-05-12 08:12:46.381540,15:41,Store B,P3708,Smartwatch,Computers,3,96.42,Mobile Payment,Premium,15,5,289.26
